Year/Study	Jurisdiction	Average	Standard Error						
2022	Australia	498	(2,0)						
	Austria	480	(2,7)						
	Belgium	479	(2,5)						
	Canada	507	(2,0)						
	Chile	448	(2,6)						
	Colombia	409	(3,8)						
	Costa Rica	415	(2,7)						
	Czech Republic	489	(2,2)						
	Denmark	489	(2,6)						
	Estonia	511	(2,4)						
	Finland	490	(2,3)						
	France	474	(3,1)						
	Germany	480	(3,6)						
	Greece	438	(2,8)						
	Hungary	473	(2,8)						
	Iceland	436	(2,1)						
	Ireland	516	(2,3)						
	Israel	474	(3,5)						
	Italy	482	(2,7)						
	Japan	516	(3,2)						
	Korea	515	(3,6)						
	Latvia	475	(2,5)						
	Lithuania	472	(2,2)						
	Luxembourg	.	†						
	Mexico	415	(2,9)						
	Netherlands	459	(4,3)						
	New Zealand	501	(2,1)						
	Norway	477	(2,5)						
	Poland	489	(2,7)						
	Portugal	477	(2,7)						
	Slovak Republic	447	(3,1)						
	Slovenia	469	(1,6)						
	Spain	474	(1,7)						
	Sweden	487	(2,5)						
	Switzerland	483	(2,3)						
	Turkiye	456	(1,9)						
	United Kingdom	494	(2,4)						
	United States	504	(4,3)						
2018	Australia	503	(1,6)						
	Austria	484	(2,7)						
	Belgium	493	(2,3)						
	Canada	520	(1,8)						
	Chile	452	(2,6)						
	Colombia	412	(3,3)						
	Costa Rica	426	(3,4)						
	Czech Republic	490	(2,5)						
	Denmark	501	(1,8)						
	Estonia	523	(1,8)						
	Finland	520	(2,3)						
	France	493	(2,3)						
	Germany	498	(3,0)						
	Greece	457	(3,6)						
	Hungary	476	(2,3)						
	Iceland	474	(1,7)						
	Ireland	518	(2,2)						
	Israel	470	(3,7)						
	Italy	476	(2,4)						
	Japan	504	(2,7)						
	Korea	514	(2,9)						
	Latvia	479	(1,6)						
	Lithuania	476	(1,5)						
	Luxembourg	470	(1,1)						
	Mexico	420	(2,7)						
	Netherlands	485	(2,7)						
	New Zealand	506	(2,0)						
	Norway	499	(2,2)						
	Poland	512	(2,7)						
	Portugal	492	(2,4)						
	Slovak Republic	458	(2,2)						
	Slovenia	495	(1,2)						
	Spain	.	†						
	Sweden	506	(3,0)						
	Switzerland	484	(3,1)						
	Turkiye	466	(2,2)						
	United Kingdom	504	(2,6)						
	United States	505	(3,6)						
2015	Australia	503	(1,7)						
	Austria	485	(2,8)						
	Belgium	499	(2,4)						
	Canada	527	(2,3)						
	Chile	459	(2,6)						
	Colombia	425	(2,9)						
	Costa Rica	427	(2,6)						
	Czech Republic	487	(2,6)						
	Denmark	500	(2,5)						
	Estonia	519	(2,2)						
	Finland	526	(2,5)						
	France	499	(2,5)						
	Germany	509	(3,0)						
	Greece	467	(4,3)						
	Hungary	470	(2,7)						
	Iceland	482	(2,0)						
	Ireland	521	(2,5)						
	Israel	479	(3,8)						
	Italy	485	(2,7)						
	Japan	516	(3,2)						
	Korea	517	(3,5)						
	Latvia	488	(1,8)						
	Lithuania	472	(2,7)						
	Luxembourg	481	(1,4)						
	Mexico	423	(2,6)						
	Netherlands	503	(2,4)						
	New Zealand	509	(2,4)						
	Norway	513	(2,5)						
	Poland	506	(2,5)						
	Portugal	498	(2,7)						
	Slovak Republic	453	(2,8)						
	Slovenia	505	(1,5)						
	Spain	496	(2,4)						
	Sweden	500	(3,5)						
	Switzerland	492	(3,0)						
	Turkiye	428	(4,0)						
	United Kingdom	498	(2,8)						
	United States	497	(3,4)						
2012	Australia	512	(1,6)						
	Austria	490	(2,8)						
	Belgium	509	(2,3)						
	Canada	523	(1,9)						
	Chile	441	(2,9)						
	Colombia	403	(3,4)						
	Costa Rica	441	(3,5)						
	Czech Republic	493	(2,9)						
	Denmark	496	(2,6)						
	Estonia	516	(2,0)						
	Finland	524	(2,4)						
	France	505	(2,8)						
	Germany	508	(2,8)						
	Greece	477	(3,3)						
	Hungary	488	(3,2)						
	Iceland	483	(1,8)						
	Ireland	523	(2,6)						
	Israel	486	(5,0)						
	Italy	490	(2,0)						
	Japan	538	(3,7)						
	Korea	536	(3,9)						
	Latvia	489	(2,4)						
	Lithuania	477	(2,5)						
	Luxembourg	488	(1,5)						
	Mexico	424	(1,5)						
	Netherlands	511	(3,5)						
	New Zealand	512	(2,4)						
	Norway	504	(3,2)						
	Poland	518	(3,1)						
	Portugal	488	(3,8)						
	Slovak Republic	463	(4,2)						
	Slovenia	481	(1,2)						
	Spain	488	(1,9)						
	Sweden	483	(3,0)						
	Switzerland	509	(2,6)						
	Turkiye	475	(4,2)						
	United Kingdom	499	(3,5)						
	United States	498	(3,7)						
2009	Australia	515	(2,3)						
	Austria	470	(2,9)						
	Belgium	506	(2,3)						
	Canada	524	(1,5)						
	Chile	449	(3,1)						
	Colombia	413	(3,7)						
	Costa Rica	.	†						
	Czech Republic	478	(2,9)						
	Denmark	495	(2,1)						
	Estonia	501	(2,6)						
	Finland	536	(2,3)						
	France	496	(3,4)						
	Germany	497	(2,7)						
	Greece	483	(4,3)						
	Hungary	494	(3,2)						
	Iceland	500	(1,4)						
	Ireland	496	(3,0)						
	Israel	474	(3,6)						
	Italy	486	(1,6)						
	Japan	520	(3,5)						
	Korea	539	(3,5)						
	Latvia	484	(3,0)						
	Lithuania	468	(2,4)						
	Luxembourg	472	(1,3)						
	Mexico	425	(2,0)						
	Netherlands	508	(5,1)						
	New Zealand	521	(2,4)						
	Norway	503	(2,6)						
	Poland	500	(2,6)						
	Portugal	489	(3,1)						
	Slovak Republic	477	(2,5)						
	Slovenia	483	(1,0)						
	Spain	481	(2,0)						
	Sweden	497	(2,9)						
	Switzerland	501	(2,4)						
	Turkiye	464	(3,5)						
	United Kingdom	494	(2,3)						
	United States	500	(3,7)						
2006	Australia	513	(2,1)						
	Austria	490	(4,1)						
	Belgium	501	(3,0)						
	Canada	527	(2,4)						
	Chile	442	(5,0)						
	Colombia	385	(5,1)						
	Costa Rica	.	†						
	Czech Republic	483	(4,2)						
	Denmark	494	(3,2)						
	Estonia	501	(2,9)						
	Finland	547	(2,1)						
	France	488	(4,1)						
	Germany	495	(4,4)						
	Greece	460	(4,0)						
	Hungary	482	(3,3)						
	Iceland	484	(1,9)						
	Ireland	517	(3,5)						
	Israel	439	(4,6)						
	Italy	469	(2,4)						
	Japan	498	(3,6)						
	Korea	556	(3,8)						
	Latvia	479	(3,7)						
	Lithuania	470	(3,0)						
	Luxembourg	479	(1,3)						
	Mexico	410	(3,1)						
	Netherlands	507	(2,9)						
	New Zealand	521	(3,0)						
	Norway	484	(3,2)						
	Poland	508	(2,8)						
	Portugal	472	(3,6)						
	Slovak Republic	466	(3,1)						
	Slovenia	494	(1,0)						
	Spain	461	(2,2)						
	Sweden	507	(3,4)						
	Switzerland	499	(3,1)						
	Turkiye	447	(4,2)						
	United Kingdom	495	(2,3)						
	United States	.	†						
2003	Australia	525	(2,1)						
	Austria	491	(3,8)						
	Belgium	507	(2,6)						
	Canada	528	(1,7)						
	Chile	.	†						
	Colombia	.	†						
	Costa Rica	.	†						
	Czech Republic	489	(3,5)						
	Denmark	492	(2,8)						
	Estonia	.	†						
	Finland	543	(1,6)						
	France	496	(2,7)						
	Germany	491	(3,4)						
	Greece	472	(4,1)						
	Hungary	482	(2,5)						
	Iceland	492	(1,6)						
	Ireland	515	(2,6)						
	Israel	.	†						
	Italy	476	(3,0)						
	Japan	498	(3,9)						
	Korea	534	(3,1)						
	Latvia	491	(3,7)						
	Lithuania	.	†						
	Luxembourg	479	(1,5)						
	Mexico	400	(4,1)						
	Netherlands	513	(2,9)						
	New Zealand	522	(2,5)						
	Norway	500	(2,8)						
	Poland	497	(2,9)						
	Portugal	478	(3,7)						
	Slovak Republic	469	(3,1)						
	Slovenia	.	†						
	Spain	481	(2,6)						
	Sweden	514	(2,4)						
	Switzerland	499	(3,3)						
	Turkiye	441	(5,8)						
	United Kingdom	507	(2,5)						
	United States	495	(3,2)						
2000	Australia	528	(3,5)						
	Austria	492	(2,7)						
	Belgium	507	(3,6)						
	Canada	534	(1,6)						
	Chile	410	(3,6)						
	Colombia	.	†						
	Costa Rica	.	†						
	Czech Republic	492	(2,4)						
	Denmark	497	(2,4)						
	Estonia	.	†						
	Finland	546	(2,6)						
	France	505	(2,7)						
	Germany	484	(2,5)						
	Greece	474	(5,0)						
	Hungary	480	(4,0)						
	Iceland	507	(1,5)						
	Ireland	527	(3,2)						
	Israel	452	(8,5)						
	Italy	487	(2,9)						
	Japan	522	(5,2)						
	Korea	525	(2,4)						
	Latvia	458	(5,3)						
	Lithuania	.	†						
	Luxembourg	441	(1,6)						
	Mexico	422	(3,3)						
	Netherlands	‡	†						
	New Zealand	529	(2,8)						
	Norway	505	(2,8)						
	Poland	479	(4,5)						
	Portugal	470	(4,5)						
	Slovak Republic	.	†						
	Slovenia	.	†						
	Spain	493	(2,7)						
	Sweden	516	(2,2)						
	Switzerland	494	(4,2)						
	Turkiye	.	†						
	United Kingdom	523	(2,6)						
	United States	504	(7,0)						
